Country,Continent,Dystopia Residual (Social support),Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Standard Error,Trust (Government Corruption),year
Iran,Asia,0.842,1.1,,0.305,0.27,117,4.548,0.785,,0.125,2019
Guinea,Africa,0.829,0.38,,0.332,0.207,118,4.534,0.375,,0.086,2019
Georgia,Europe,0.666,0.886,,0.346,0.043,119,4.519,0.752,,0.164,2019
Georgia,Asia,0.666,0.886,,0.346,0.043,119,4.519,0.752,,0.164,2019
Gambia,Africa,0.939,0.308,,0.382,0.269,120,4.516,0.428,,0.167,2019
Kenya,Africa,0.983,0.512,,0.431,0.372,121,4.509,0.581,,0.053,2019
Mauritania,Africa,1.167,0.57,,0.066,0.106,122,4.49,0.489,,0.088,2019
Mozambique,Africa,0.986,0.204,,0.494,0.197,123,4.466,0.39,,0.138,2019
Tunisia,Africa,1,0.921,,0.167,0.059,124,4.461,0.815,,0.055,2019
Bangladesh,Asia,0.928,0.562,,0.527,0.166,125,4.456,0.723,,0.143,2019
Iraq,Asia,0.98,1.043,,0.241,0.148,126,4.437,0.574,,0.089,2019
Congo (Kinshasa),Africa,1.125,0.094,,0.269,0.212,127,4.418,0.357,,0.053,2019
Mali,Africa,1.105,0.385,,0.327,0.153,128,4.39,0.308,,0.052,2019
Sierra Leone,Africa,0.841,0.268,,0.309,0.252,129,4.374,0.242,,0.045,2019
Sri Lanka,Asia,1.265,0.949,,0.47,0.244,130,4.366,0.831,,0.047,2019
Myanmar,Asia,1.181,0.71,,0.525,0.566,131,4.36,0.555,,0.172,2019
Chad,Africa,0.766,0.35,,0.174,0.198,132,4.35,0.192,,0.078,2019
Ukraine,Europe,1.39,0.82,,0.178,0.187,133,4.332,0.739,,0.01,2019
Ethiopia,Africa,1.033,0.336,,0.344,0.209,134,4.286,0.532,,0.1,2019
Swaziland,Africa,1.149,0.811,,0.313,0.074,135,4.212,0,,0.135,2019
Uganda,Africa,1.069,0.332,,0.356,0.252,136,4.189,0.443,,0.06,2019
Egypt,Africa,1.039,0.913,,0.241,0.076,137,4.166,0.644,,0.067,2019
Zambia,Africa,1.058,0.578,,0.431,0.247,138,4.107,0.426,,0.087,2019
Togo,Africa,0.572,0.275,,0.293,0.177,139,4.085,0.41,,0.085,2019
India,Asia,0.765,0.755,,0.498,0.2,140,4.015,0.588,,0.085,2019
Liberia,Africa,0.922,0.073,,0.37,0.233,141,3.975,0.443,,0.033,2019
Comoros,Africa,0.757,0.274,,0.142,0.275,142,3.973,0.505,,0.078,2019
Madagascar,Africa,0.916,0.274,,0.148,0.169,143,3.933,0.555,,0.041,2019
Lesotho,Africa,1.169,0.489,,0.359,0.107,144,3.802,0.168,,0.093,2019
Burundi,Africa,0.447,0.046,,0.22,0.176,145,3.775,0.38,,0.18,2019
Zimbabwe,Africa,1.114,0.366,,0.361,0.151,146,3.663,0.433,,0.089,2019
Haiti,North America,0.688,0.323,,0.026,0.419,147,3.597,0.449,,0.11,2019
Botswana,Africa,1.145,1.041,,0.455,0.025,148,3.488,0.538,,0.1,2019
Syria,Asia,0.378,0.619,,0.013,0.331,149,3.462,0.44,,0.141,2019
Malawi,Africa,0.56,0.191,,0.443,0.218,150,3.41,0.495,,0.089,2019
Yemen,Asia,1.163,0.287,,0.143,0.108,151,3.38,0.463,,0.077,2019
Rwanda,Africa,0.711,0.359,,0.555,0.217,152,3.334,0.614,,0.411,2019
Tanzania,Africa,0.885,0.476,,0.417,0.276,153,3.231,0.499,,0.147,2019
Afghanistan,Asia,0.517,0.35,,0,0.158,154,3.203,0.361,,0.025,2019
Central African Republic,Africa,0,0.026,,0.225,0.235,155,3.083,0.105,,0.035,2019
South Sudan,Africa,0.575,0.306,,0.01,0.202,156,2.853,0.295,,0.091,2019
